bankcd,banknm,rivnm,rivdv,banklr,staddr,stchm,stchs,edaddr,edchm,edchs,len,plfwv,plfwl,plrivwith,bankwith,inslp,outslp,sttmx,sttmy,edtmx,edtmy,outstn,instn,gatecnt,pgatecnt,pipecnt,pumtcnt,bodysf,etcsf,mngrdtp,bkrdtp,hgebmttp,hgebmtst,bedtp,bedst,lwebmttp,lwebmtst,waystn,crstp,bedsoil
301101020006,부용1제,영동천,지방1급,우,충청북도 영동군 영동읍 부용리,57,0,충청북도 영동군 영동읍 부용리,49,160,1440,375,142.44~132.32,30~56,,1:2.0,1:2.0,267809,295672,269011,296301,,농경지(논+과수원) 및 주거지로 이용,,4,1,,양호,제방겸도로(일부구간),비포장,"아스팔트, 콘크리트","개비온, 석축",보통,,,,,직선부,단단면,자갈+모래
301105010000,용당제,초강,지방1급,좌,충청북도 영동군 심천면 용당리,8,0,충청북도 영동군 심천면 초강리,0,0,1600,2570,104.40~103.24,191~240,,1:2.0,1:2.0,265970,303134,264367,303399,,"농경지(비닐하우스+논), 주거지로 이용",,3,2,,보통,철도가 하천을 횡단함,아스팔트(심천교하류),,돌붙임,보통,,,,,직선부,단단면,모래+자갈
301105010001,각계제,초강,지방1급,좌,충청북도 영동군 심천면 단전리,,,충청북도 영동군 심천면 단전리,,,660,,,,5,1:2.0,1:2.0,268164,303983,267748,303471,,"농경지(논), 주거지로 이용",,1,2,,양호,제방공사중,비포장,,돌망태(사각형),,돌망태(사각형),,,,직선부,단단면,모래+자갈
301105010002,산저1제,초강,지방1급,좌,충청북도 영동군 영동읍 심원2리,96,170,충청북도 영동군 영동읍 심원2리,91,100,1060,,132.47~133.87,169~108,,1:2.0,1:2.0,273933,303620,273183,304276,,농경지(논+과수원)로 이용,,2,2,,양호,2003년도 수해복구 공사,비포장,,"돌망태(원형, 사각형)",보통,"돌망태(원형, 사각형)",보통,,,직선부,단단면,모래+자갈
301105010003,산저3제,초강,지방1급,좌,충청북도 영동군 황간면 회포리,107,0,충청북도 영동군 용산면 산저리,101,30,1200,2460,134.94~133.52,169~197,,1:2.0,1:2.0,275565,304747,275055,303784,,농경지(논+비닐하우스)로 이용,,2,1,,양호,2003년도 수해복구 공사,비포장,,돌망태(사각형),양호,돌망태(사각형),양호,,,직선부,단단면,모래+자갈
301105010004,회포2제,초강,지방1급,좌,충청북도 영동군 황간면 용암2리,,,충청북도 영동군 황간면 회포리,,,600,,,,4,1:2.0,1:2.0,276529,306272,276246,305817,,농경지(논+묘목밭)로 이용,,,4,,보통,,비포장,,돌망태,보통,돌망태,보통,,,사행부,단단면,모래
301105010005,회포제,초강,지방1급,좌,충청북도 영동군 황간면 용암2리,124,0,충청북도 영동군 황간면 용암2리,118,120,1080,,140.51~139.90,245~140,,1:2.0,1:2.0,276831,305444,276679,306178,,농경지(밭+과수원(포도))로 이용,,,5,,보통,제체법면에 나무가 식재됨,비포장,,돌망태,보통,돌망태,보통,,,직선부,단단면,모래+자갈
301105010006,우천제,초강,지방1급,좌,충청북도 영동군 황간면 용암1리,135,0,충청북도 영동군 황간면 우천1리,132,0,600,2390,146.48~114.18,154~118,,1:2.0,1:2.0,278122,304378,277729,304275,,농경지(밭+포도농장) 및 주거지로 이용,,,1,,양호,제방공사중,비포장,,돌망태(사각형),양호,돌망태(사각형),양호,,,직선부,단단면,모래+자갈
301105010007,마산제,초강,지방1급,좌,충청북도 영동군 황간면 마산2리,159,60,충청북도 영동군 황간면 마산1리,152,0,1460,,161.03~157.59,120~79,,1:2.0,1:2.0,281789,303120,280867,304127,하도내에 암석이 있음,"농경지(논+밭), 공장이 위치하고 있음",,3,13,,보통,,비포장,,"돌망태, 돌붙임",보통,,,,,직선부,단단면,모래+자갈+암석
301105010008,소계2제,초강,지방1급,좌,충청북도 영동군 황간면 소계2리,168,0,충청북도 영동군 황간면 소계2리,161,100,1300,1330,166.66~163.86,115~108,,1:2.0,1:2.0,283116,302631,282232,303231,,"농경지(논)+포도밭으로 이용, 철도 및 고속도로가 하천을 횡단하고 있음",,,5,,보통,제체법면에 잡목이 무성,비포장,,돌망태,보통,돌망태,보통,,,사행부,단단면,모래+자갈
301105020000,심천제,초강,지방1급,우,충청북도 영동군 심천면 단전리,11,30,충청북도 영동군 심천면 심천2리,0,0,2440,2570,104.92~103.24,103~260,4,1:2.0,1:2.0,266340,303516,264338,303657,,"농경지(논+인삼밭+비닐하우스), 주거지로 이용, 금강합류점에 골재채취장이 위치",,1,10,,양호,철도가 하천을 횡단함,"비포장, 콘크리트(심천교하류구간)",,돌망태(사각형),양호,돌망태(사각형),양호,,,직선부,단단면,모래+자갈
301105020001,단전제,초강,지방1급,우,충청북도 영동군 심천면 단전리,24,160,충청북도 영동군 심천면 단전리,13,60,2340,2570,109.39~106.67,145~195,,1:2.0,1:2.0,267971,304040,266391,304000,,농경지(논+과수)와 주거지로 이용,,1,5,,양호,"2003년~2004년 수해복구 공사, 일부구간 천단에 잡석 부설됨",비포장,,돌망태(사각형),양호,돌망태(사각형),양호,,,사행부,단단면,모래+자갈
301105020002,한석제,초강,지방1급,우,충청북도 영동군 용산면 한석리,38,120,충청북도 영동군 용산면 한석리,36,20,500,2570,114.97~114.51,171~195,,1:2.0,1:2.0,269678,305453,269143,306204,,"레미콘공장, 농경지(논)로 이용",,1,2,,양호,2003년도 수해복구 공사,비포장,"비포장, 아스팔트(일부구간)",돌망태(사각형),양호,돌망태(사각형),양호,,,사행부,단단면,모래+자갈
301105020003,시금1제,초강,지방1급,우,충청북도 영동군 용산면 시금리,70,0,충청북도 영동군 용산면 시금리,63,0,1300,2570,124.07~122.54,112~175,,1:2.0,1:2.0,270580,303247,269747,303379,,농경지(논)와 주거지로 이용중,,,9,,양호,2003년도 수해복구 공사,비포장,,"돌망태(원형, 사각형)",양호,"돌망태(원형, 사각형)",양호,,,사행부,단단면,모래+자갈
301105020004,송담제,초강,지방1급,우,충청북도 영동군 용산면 율1리,,,충청북도 영동군 용산면 율1리,,,150,,,,4,1:2.0,1:2.0,273332,304370,273207,304449,,"농경지(논+밭), 주거지로 이용",,,2,,양호,2004년도 수해복구 공사,비포장,,돌망태(사각형),양호,돌망태(사각형),양호,,,직선부,단단면,모래+자갈
301105020005,산저2제,초강,지방1급,우,충청북도 영동군 용산면 산저리,107,0,충청북도 영동군 용산면 산저리,95,80,2380,,134.94~79.21,202~155,,1:2.0,1:2.0,274925,304106,273998,303932,,"농경지(논), 주거지로 이용",,2,7,,양호,2003년도 수해복구 공사,콘크리트(일부구간),,돌망태(사각형),양호,돌망태(사각형),양호,,,사행부,단단면,모래+자갈
301105020006,용암1제,초강,지방1급,우,충청북도 영동군 황간면 금계리,119,50,충청북도 영동군 황간면 금계리,117,100,390,2460,139.97~139.44,245~148,,1:2.0,1:2.0,276915,306463,276462,306408,,농경지(논)와 주거지로 이용중,,,1,,보통,제내지측 법면 일부 유실,비포장,,돌망태,보통,돌망태,보통,,,직선부,단단면,모래+자갈
301105020007,용암2제,초강,지방1급,우,충청북도 영동군 황간면 원촌리,136,0,충청북도 영동군 황간면 용암2리,119,150,3300,,148.00~140.02,290~118,,1:2.0,1:2.0,278696,304495,276995,306342,하도내에 자갈등이 넓게 분포됨,농경지(논+비닐하우스)+주거지로 이용,,3,10,,양호,회포교 하류측 제방공사중,비포장,,"돌망태(사각형, 원형)",양호,"돌망태(사각형, 원형)",양호,,,사행부,단단면,자갈+모래
